rnum,id,title,cont,udate,hits,likes,hname,dname,rcount
70,xman,치과후기70,"
이벤트 통해 좋은 가격이 미백치료 받았고 친절하고 꼼꼼하게 잘 설명 주셨습니다! 개인적으로는 엄청난 효과가 없었지만 사람마다 차이가 있는건 알았기에 충분히 만족했어요. 다음에도 방문할것 같습니다.
",2022-07-22,0,8.5,이플랜치과의원,박미미,0
71,member,치과후기71,"
친절하시고 유머러스하시는데 환자가 많아서 그런건지 진료속도가 약간 더디는것같습니다.
빠른것을 요구하는건 아니지만 조금 더 구체적으로 방안을 말씀해주시고
앞으로의 계획도 맞춰나가면 이 선생님은 100점짜리 선생님 같아요
사람을 편안하게 만드시는 재주가 있으신것같아요
완벽합니다
",2022-09-06,0,8.8,서울연세조이치과의원,방민민,0
72,member2,치과후기72,"
10년전 레진 변색으로 갔는데.. 다듬으로 된다고 해서 .. 만외 내외로 청구 되었는데.. 이전에 없던 이틀 연속 시림증상 레진으로 재진료 받았어요 ㅠ 담당선생님 과잉진료없이 친절하고 세밀하게 봐 주시는거 같았는데 이전에 없던 시림 증상으로 재치료 받아서 재방문은 어려울 듯 합니다.
",2022-09-03,0,1.8,페리오플란트치과의원,배병비,0
73,xman,치과후기73,"
(대표 원장으로 대신 등록된 리뷰입니다)

모두닥에서 보고 전화를 통해 치아미백을 3회 받았습니다
저는 치아 미백은 아무래도 치위생사님의 능력이 중요하다고 생각하는데
서민지 치위생사님이 정말 꼼꼼하게 진행해주시고 너무나 친절하게 알려주셔서 치아에 대해 많이 알고 갑니다 ㅎㅎ
부분 치석 제거도 하였는데 하나도 안아파서 놀랬어요!
이제부턴 제 전담 치위생사님 하시는걸로!!
커피라도 한잔 사드리고 싶을정도로 너무 감사했습니다!
정말 감사합니다!
",2022-08-26,0,10,서울앞선치과의원,백보빈,0
74,xman,치과후기74,"
대기없이 치아 보고
미백 편히받앗어요 주차장 은
ㅇ옆이지만좋아요


우선1회 690 0 0 원에 한번진행하ㄱㅓ

또가고싶어요

최소세번은해야
될듯
글래도만족합니다
미백저렴하게
하고싶은분들추천해여
치아미백은여기가싸요제일
강남에서
치아마백화이팅

아자
이쁜치아조아요
",2022-08-24,0,8.8,우정치과의원,변비서,0
75,member,치과후기75,"
치아미백에 유명한 곳이라 다녀왔어요 총 3회 결제한 비용입니다~ 2회 한번에 하고 1회는 일주일 뒤에 했어요! 하고나니 확실히 치아 뿌리쪽 노란게 적어져서 인상이 세련되진 느낌입니다😍
",2022-08-06,0,9,연세어린이사랑치과의원,서상선,0
76,member2,치과후기76,"
유튜브로 교정 전문 치과를 막 알아보다가 루센트치과의원 알게 되었습니다. 상담 받으러 왔는데
의사 선생님들께서 상담을 너무 꼼꼼히 해주셨습니다.
진료도 친절하게 진료해 주셨습니다
치과 시설도 좋고 청결합니다.
",2022-08-03,0,10,꿈꾸는치과의원,석서성,0
77,xman,치과후기77,"
미백할인 행사가 진행중이여서 예약하고 방문했는데 순서도 바로바로 진행되고 엄청 친절하셔서 좋았어요! 2회 더 남아서 가야하는데 효과가 기대됩니다. 단 손님이 많으니 야간예약은 잡기 힘들더군요.
",2022-07-05,0,10,파스텔치과의원,손선세,0
78,member,치과후기78,"
교정때문에 여러곳 알아보다가 리뷰보고 가게됏어요.
원래 귀찮아서 리뷰 잘 안남기는데
처음 갓을때부터 모든 직원분들 친절하시고 원장님이 직접!!! 엑스레이 사진 입 안 직접 보시고 상태에따라 자세히 상담해주셔서 믿음이 갔어요
고민중이시라면 적극 추천합니다.!
",2022-06-28,0,10,이플랜치과의원,송성소,0
79,member2,치과후기79,"
교정 하러 가서 내 뼈 상태도 알고
원장님이 서울대에서도 진료 하다 오셔서 그런가 뭔가 체계적이고 대학병원에서 진료 받는거 같아서 좋았습니다
앞으로 변화될 모습에 기대가 많습니다 !
",2022-06-28,0,10,서울연세조이치과의원,신세솔,0
80,xman,치과후기80,"
사랑니 발치 했어요! 사랑니 매복이라고 해서 너무 무서웠는데 원장님께서 안아프게 마취 해주시고 뽑아주셨어요 ㅎㅎ 매번 치과 갈때마다 잘 봐주셔서 너무 좋았어요 벌써 다닌지 몇년 됐는데 그때마다 세심하게 봐주셔서 감사합니다 위생사 선생님들도 늘 먼저 말도 걸어주시고 감사해요 ❤️
",2022-06-17,0,10,페리오플란트치과의원,안소송,0
81,member,치과후기81,"
새로 오신 교정 원장님께 매달 진료 받고 있는데 정말 좋아요!
누운 상태에서 꼼꼼하게 상태를 봐주시고 늘 불편한 부분은 없는지 체크도 해주십니다. 찔리는 부분이 있다면 그자리에서 바로 해결해주세요
차분하시지만 카리스마 있고(?) 또 친절하신 여자 원장님이라 너무너무 좋아요ㅠㅠ
",2022-07-26,0,10,서울앞선치과의원,양솔수,0
82,member2,치과후기82,"
친절하세요
엑스레이촬영하고
잇몸 염증이있는건 아닐까해서 방문해서 갔는데
큰이상없으면 치료안해도된다고 하셔서 과잉지료없어서
좋았고 치위생사분들도 친절하시고
턱수술하고갔는데 입잘안벌어지면 임플란트
못한다고 걱정해주셔서 참좋았음
",2022-01-26,0,9.5,우정치과의원,엄송승,0
83,xman,치과후기83,"
임플란트 1개 진행하였습니다
김태수 원장선생님이 잘 해주셔서
지금까지 잘 치아 쓰고 있습니다.
사람이 많아서 예약하기조금
어렵지만 비싸지않고 잘 케어해주셔서
감사합니다
이수역부근이라 접근성도 좋습니다
",2021-05-27,0,10,연세어린이사랑치과의원,여수신,0
84,xman,치과후기84,"
한줄평: 믿을만한 곳! 다시 갈만한 곳!

회사 제휴 병원이라서 충치 치료차 방문. 다른 치과에서는 어금니 2개를 다시 크라운 씌우고 치료해야한다고 했는데, 이수 스마트 치과 의사선생님은 살펴보시더니 충치 치료할 단계가 아직 아니며 지금 다시 크라운치료를 하는게 오히려 치아에 더 부담을 줄테니 좀더 관리하고 지켜보는게 좋을 것 같다고 치료를 보류하셨다. 믿을 만한 곳이라고 느낌!!

병원리뷰:
시설이 정말 깔끔하고 좋았다. 대기실부터 치료실, 화장실까지 내부가 새로 공사한 것 같은 느낌.
회사 제휴 가격으로 크라운 치료는 개당 30만원 초중반대였던 것으로 기억하는데, 결론적으로는 아직 치료할 필요가 없다고 하셔서 검사비 8천원만 청구되었다.
",2020-08-29,0,7.5,꿈꾸는치과의원,염순아,0
85,member,치과후기85,"
한줄평: 만족! 재방문하고싶네요!

아랫니 교정기 유지장치가 떨어져서 다시 붙였습니다. 유지장치 떨어진 부위를 원장님께서 직접 꼼꼼히 정리하고 다시 붙여주시더라구요. 원래 제가 다니던 병원은 유지장치 관련 진료는 치위생사분들이 해주셨는데... :) 만족스러웠습니다. 가격도 근방에서 꽤 저렴한 편이었어요! (다른곳은 개당 3만원-5만원까지도 부름) 온 김에 스케일링도 같이 받았는데 제가 이제까지 다녔던 병원 중 가장 안아프고 시원했어요! 대만족

병원리뷰:
전화로 문의드리고 예약했는데 리셉션 직원분들 친절하셨어요! 간호사분들도 친절친절. 예약하고 가니 대기시간도 없어서 좋았습니다. 병원도 예쁘고 깔끔했어요! 만족!
",2020-08-13,0,10,파스텔치과의원,오슬안,0
86,member2,치과후기86,"
한줄평: 추천

교정하려고 상담만 받았는데 꼭 필요한 정도는 아니고 미용적으로 원하면 해도 된다고 솔직하게 말해주셔서 좋았습니다 이것저것 권하지 않아서 편했어요

병원리뷰:
새건물이라 병원도 깔끔하고 좋아요 미리 예약하고 방문했지만 사람도 많지 않아 대기시간 없었어요 엑스레이 찍을 때도 다 새걸로 갈아 끼우고 안심됐어요
",2020-01-06,0,10,이플랜치과의원,우승언,0
87,xman,치과후기87,"
한줄평: 이수 인근 최고의 치과

스케일링 후 정기검진을 받았는데 선생님께서 꼼꼼하게 치아상태를 봐주셨습니다. 과잉진료 없이 정직하게 치아의 상태를 설명하고 필요한 조치만 취해주셨습니다.

병원리뷰:
치위생사님께서 스케일링을 꼼꼼히 진행해주셨습니다. 시술 중간에도 아프지는 않는지 주기적으로 확인하셨으며, 마친 후 치아 관리법에 대해 간단하게 설명해주셨습니다.
",2020-09-23,0,9.8,서울연세조이치과의원,원시연,0
88,member,치과후기88,"
동네에서 스켈링 받고 충치가 번지고 오래되서
금니를 새로 해야한다고 빨리 치료 해야한다고 해서
가까운 병원으로 재진료보았습니다.
근데 충치가 아니고 치석이라고? 처음에 너무 황당했는데
원장님께서 친절히 설명해주시고 지금은 통증이 없기 때문에 구지 치료할 필요 없다고 하셨어요
치석 한개라 금방 제거하고 왔습니다
병원도 깨끗하고 실장님, 선생님들 다 친절하셨어요
주기적으로 점검하고 치료받는 편인데 금액 물어보니 금액도 다른 병원들보다 저렴한거 같아요
다음에 치료할일 있으면 이쪽으로 오려구요~
",2020-07-25,0,10,페리오플란트치과의원,유아영,0
89,member2,치과후기89,"
성인 두 명이서 스케일링을 받으러 갔습니다. 처음 들어가자마자 깔끔하고 청결한 인테리어에 놀랐습니다! 너무 깨끗하고 보기 좋더라구요. 중간중간에 카카오프렌즈 캐릭터 인형이 장식되어 있어서 귀여움도 느낄 수 있었습니다. 초진이어서 원장님께 간단한 검진을 먼저 받았습니다. 과잉진료 없이 꼭 필요한 진료만 해 주셨어요. 검진 중 치아 상태를 직접 거울로 확인할 수 있었습니다. 작은 충치 여러 개가 있었고, 예전에 다른 병원에서 충치 치료를 받았던 소재가 떨어져나가서 작은 구멍이 나 있더라고요. 작은 충치는 치료할 필요 없이 양치질을 잘 해서 더 심해지지 않게 관리하면 된다고 하셨어요. 떨어져나간 작은 구멍은 레진으로 바로 메꿨습니다. 기본 진료를 안 받았으면 큰일날 뻔했어요. 스케일링 중 현재 잇몸 상태에 대해 자세하게 알려 주셨고, 스케일링을 받고 나서도 사후관리에 대해서 너무 친절하게 잘 알려 주셔서 좋았습니다! 전반적으로 친절하고 깔끔한 분위기에서 만족스럽게 진료받았습니다. 치과는 앞으로 여기만 가려구요!
",2020-06-17,0,10,서울앞선치과의원,윤양예,0
90,xman,치과후기90,"
예약하고 갔는데 웨이팅 많이 없이 바로 들어갔습니다.
접수처 안내하시는 분이 굉장히 친절해요 치료에 관한 상담도 잘 해주시구요. 원장선생님께 진료 받았는데 친절하게 설명해주십니다.
충치치료하고 사랑니 뽑았는데 아무는데 시간이 좀 걸렸네요. 가격은 너무 비싸지도 싸지도 않은 보통인것같습니다.
내부는 비교적 깔끔하고 청결했습니다. 앞으로도 계속 재방문할 것 같습니다.
",2020-03-17,0,8,우정치과의원,은여옥,0
91,member,치과후기91,"
교정 중이라 양치가 잘 안되는건 사실입니다. 그래도 치간칫솔, 워터픽 꾸준히 했고요, 6개월마다 구강검진도 받고 유료로 권하는 스케일링 (다른병원보다 비쌈) 다 받았어요. 근데 진짜 진료 대충합니다. 다른 병원으로 옮겼는데 비교될 정도로 꼼꼼히 봐주시고, 충치진료가 늦어져서 돈만 더 썼네요.
",2022-06-22,0,5.5,연세어린이사랑치과의원,이연온,0
92,member2,치과후기92,"
병원 깔끔하고 직원분들이나 선생님들도 친절하세요
과잉진료가 없고 꼭 필요한 치료만 권장하시는 것 같아요
충치가 있어도 무조건 치료하라고 하지 않고 충치가 더이상 진행되지 않을 수 있으니 지켜보자고 하셨어요
",2022-05-17,0,10,꿈꾸는치과의원,임영완,0
93,xman,치과후기93,"
진료 자체는 잘 봐주시는데요 솔직히 근데 고무줄 하나 갈아끼워주고 5만원 받는건 좀 그렇네요 스케일링도 안해주시고.. 친절하시기는 하나 제 시간에 가도 대기가 있는것도 그럴거면 왜 시간을 예약 받는지도 모르겠고요 고객이 너무 많다보니 관리가 좀 소홀한 느낌이 들어오
",2022-05-04,0,8.8,파스텔치과의원,장예우,0
94,xman,치과후기94,"
사랑니 발치를 하기 위한 상담을 하러 방문 하였습니다
제가 먹고있는 약과 당시에 백신 맞는 기간까지
꼼꼼하게 체크 하셨고 상담실장님이 친철하셨습니다
또한 잇몸의 염증으로 인해 바로 발치가 불가능 하다는 말씀과 과잉진료는 없으셨으며 염증약으로 인해 빠르게 염증이 사라졌습니다
",2022-02-08,0,9,이플랜치과의원,전우욱,0
95,member,치과후기95,"
치아가 안좋아 임플란트및 치료를위해 방문했습니다.
치료받는기간중 병원위치가 이전되서;;
새로 이전한곳은 언덕위에 있어 올라가느라 살짝불편했지만 치료는 잘해줬습니다.
치료기간이 길어서 여러분의 의사쌤이 봐주셨어요.
",2021-01-14,0,6.3,서울연세조이치과의원,정원운,0
96,member2,치과후기96,"
진료 괜찮게 본다고 지인 추천으로 예약하고 퇴근 후 저녁 7시쯤 스케일링하러 갔습니다.
예약도 했으니 간단하게 한시간 생각하고 갔다가 1시간 30분 기다리고 드디어 들어가서 스케일링 받나 했는데 엑스레이 촬영을 하네요. 이빨 충치 없나 검진하고 스케일링 받는데 여태껏 받아본 곳중에서 제일 대충하네요. 치실도 안하고 그냥 5분만에 의사가 아래부터 오른쪽에서 왼쪽으로 긁고 한번씩 쓱 긁고 끝났어요.
스케일링은 동네가 제일인거 같아요. 괜히 소문난 곳에 가지 마시길
",2021-08-12,0,6.5,페리오플란트치과의원,조유원,0
97,xman,치과후기97,"
(대표 원장으로 대신 작성)
상담실장님 이름은 생각이 나질 않아서 생략할께요 병원 전반적인 치료시스템에 대해 잘 설명해주셨고 병원 진료비용에 대해서도 여러모로 혜택을 주셨어요 저는 지인의 소개를 받고 간거거든요 불만없이 잘 검사받고왔어요
",2021-06-29,0,9.8,서울앞선치과의원,주윤유,0
98,member,치과후기98,"
선생님 너무 친절하시고 교정에 전문성이 있으셔서 믿고 맡길수있어요. 이제 교정 시작하는데 2년동안 안심할수있을것 같아요. 아프지 않고 편안하게 진료 받을 수 있어서 좋아요.
사람이 많아서 갈때마다 대기가 조금 있습니다.
",2021-06-04,0,10,우정치과의원,지은윤,0
99,member2,치과후기99,"
학교 제휴 병원이라 다니게 되었는데 병원 내부 깔끔하고 모두 친절하시고 좋아요! 섬세하게 봐주시고 교정한지 좀 돼서 여러 선생님께 진료 받았는데 모두 친절하시고 꼼꼼히 봐주셨습니다!
",2021-05-29,0,10,연세어린이사랑치과의원,진의율,0
100,xman,치과후기100,"
교정치료 받았어요.
병원이 워낙크고 마케팅을 잘하시는지 사람이 너무많아서 예약하고가도 한참을 기다려야하고~~그나마도 친절한설명은 맨처음 계약할때 빼곤 듣기힘듭니다.그래도 교정은 완료하긴했어요
",2021-05-21,0,7,꿈꾸는치과의원,차이은,0
101,member,치과후기101,"
이 병원은 스케일링으로 방문하게 되었습니다
우산 병원내부가 깨끗하고 시설도 좋아보였어요!
스케일링도 안아프게 해주셔서 감사했습니다 차후 관리하는방법도 세세하세 알려주셔서 도움이 많이되었습니다
",2022-08-05,0,10,파스텔치과의원,최재이,0
102,member2,치과후기102,"
스케일링 하러 방문하였고, 다들 친절하게 상담해주시고 치료도 안아프고 편안한 분위기에서 치료 받았습니다! 이층에 진료실있어서 프라이빗해요! 과잉진료 없고 딱 필요한것만 말씀해주시고 빠른 진료 받을 수 있어요!
",2022-08-04,0,10,이플랜치과의원,추정인,0
103,xman,치과후기103,"
우선 병원내 시스템이 최신으로 깨끗하고 청결했어요
서울 메인부에 있는 치과라서 그런지 조금 비싼 느낌을 받았어요 ㅠㅠ
그리고 사랑니뺏는데 사랑니 발치한곳에 자꾸 염증이 나네요 .. 그래서 다시 가진않을것같습니다
",2022-08-04,0,10,서울연세조이치과의원,탁조임,0
104,xman,치과후기104,"
지하철역하고 연결되어있는 건물이라 접근성이 너무 좋습니다!
입구도 깔끔하고 향기도 은은히 나서 기분이 좋아집니다
의사선생님도 엄청 친절하시고 자세히 설명해주시고 과잉진료 하시지 않는거 같아 너무 좋아요
",2022-07-21,0,10,페리오플란트치과의원,편주재,0
105,member,치과후기105,"
제가 전체적으로 치아 상태가 안좋아서 임플란트를 할데가 많아서 고민이 많았는데요 우연히 발견하게 되서 상담받고 믿음이가서 그 다음주로 방문하게 되었어요 평소에 치과 진료는 무섭기도하고 겁이많은편이라서.. 수면으로 원하고 있었는데 마침 수면으로 치료가 가능하다고해서 결정하게 되었네요.
수술진행하기 전에 2시간전에는 물도 마시면안되고 8시간전에는 금식해야된다고 안내전화 받고 바로 곡기를 끊었어요.. 연락 안주셨으면 깜빡 할뻔했습니다 감사합니다. 그리고 수술해주신 원장님께서 꼼꼼하고 자세하게 설명해주셔서 좋았습니다. 긴시간 수술해주시느라 고생많으셨습니다. 정말 감사드립니다..앞으로도 남은 치료기간동안 잘 부탁드립니다.
",2022-05-05,0,10,서울앞선치과의원,표준정,0
106,member2,치과후기106,"
일단 마취 장인이세요!! 치과 치료에서 제일 무서운 것 중 하나가 바로 마취인데ㅠㅠ 하나도 안 아프게 주사 잘 놔주시더라고요~ 그리고 과잉진료같은 것도 없어요. 코디네이터분이 치료가 시급한 치아만 일단 치료하라고 안내해주셔서 좋았습니당. 다만 의사쌤이 엄청 바쁘셔서 치료 도중 이런저런 설명을 받지 못하는 게 아쉬웠어요~
딱 치료만 하고 다른 환자에게 넘어가는 시스템이더라고요. 어떤 치료를 했고 어떻게 됐고 등 최소한이라도 설명이 있음 좋겠어요~ 다른 의사 선생님은 이것저것 환자에게 설명 해주시더라고용. 무튼 치과 자체는 괜찮았습니다~
",2022-03-21,0,8,우정치과의원,하지주,0
107,xman,치과후기107,"
치과 가는게 너무 무서워서 방치하고 있다가 큰맘먹고 가서 치료받고 있어요. 담당 선생님부터 간호사, 실장님 모두 친절하셔서 조마조마한 마음 풀고 다녀요. 이렇게 안아프게 치료해주시는 치과 처음입니다 ㅎㅎ 치료계획과 비용을 문서화해서 보여주시는 점도 신뢰가 가는 곳입니다.
",2022-03-19,0,10,연세어린이사랑치과의원,한진준,0
108,member,치과후기108,"
스케일링 받았는데 꼼꼼히 안아프게 마취가글해서 진행해주셨고
의사선생님도 친절하게 충치와 현재 치아상태에대해 진단해주셨네요
병원 시설도 정말 청결하고 위치도 좋아 재방문의사 있습니다
추천합니다
",2022-02-22,0,10,꿈꾸는치과의원,허채지,0
109,member2,치과후기109,"
디타워 근처에 살고 있어서 가까운 병원 찾아갔습니다.
스켈링 받았는데 나쁘지 않았습니다.
직원들 전반적으로 친절하고 의사선생님도 괜찮았어요. 그 외에 치료해야 할 치아 있는지도 살펴봐주셨습니다.
",2022-01-12,0,5.3,파스텔치과의원,홍초진,0
110,xman,치과후기110,"
갑자기 많이 시리고 아파서 회사 근처에서 가까운 곳을 찾아보다 방문 하게 되었습니다


건물이 좋아? 병원이 있을 줄 몰랐는데 찾기 편합니다.

상담도 꼼꼼하게 해주셔서 지료를 잘 받을 수 있었습니다.
",2022-02-10,0,10,이플랜치과의원,황태채,0
